method_DELETE,method_GET,method_POST,method_PUT,src_is_private,dst_is_private,both_private,src_network_segment,url_length,url_depth,url_param_count,url_contains_admin,url_contains_login,url_contains_api,url_contains_dashboard,url_contains_profile,url_contains_upload,url_contains_download,url_contains_register,url_contains_password,url_contains_secret,url_special_chars,url_upper_ratio,url_has_encoded,body_length,body_is_empty,contains_sql,contains_xss,contains_traversal,contains_rce,contains_include,contains_serialized,contains_csrf,body_entropy,likely_base64,has_binary_data,ua_length,is_firefox,is_chrome,is_safari,is_windows,is_mac,is_linux,is_mobile,is_bot,post_with_body,get_with_body,deep_sensitive,total_attack_features,has_multiple_attacks
1,0,0,0,1,1,1,10,37,1,3,0,0,0,1,0,0,0,0,0,0,6,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,53,1,3,0,0,0,0,0,0,1,0,0,0,6,0.05660377358490566,0,61,0,0,0,1,0,0,0,0,4.463101477967305,0,0,60,0,0,0,1,0,0,0,0,0,61,0,1,0
1,0,0,0,1,1,1,10,46,2,2,0,0,0,0,0,0,0,1,0,0,4,0.021739130434782608,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,135,1,1,0,0,0,0,0,0,0,0,0,0,2,0.4148148148148148,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,41,1,3,0,0,0,0,0,0,0,0,0,0,6,0.024390243902439025,0,51,0,0,0,1,0,0,0,0,4.474005430623188,0,0,60,0,0,0,1,0,0,0,0,51,0,0,1,0
0,0,0,1,1,1,1,10,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,43,0,0,0,0,0,0,0,0,4.088828126694494,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,20,0,1,0,0,0,0,0,0,3.2037016960573483,0,0,60,0,0,0,1,0,0,0,0,20,0,0,1,0
0,0,1,0,1,1,1,10,21,2,1,0,0,1,0,0,0,0,0,0,0,2,0.0,0,70,0,0,0,0,0,1,0,0,4.591443867062901,0,0,66,0,0,0,0,1,0,0,0,70,0,0,1,0
0,0,1,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,25,0,0,0,0,1,0,0,0,4.023465189601645,0,0,66,0,0,0,0,1,0,0,0,25,0,0,1,0
0,0,1,0,1,1,1,10,26,1,1,0,0,0,0,0,0,0,0,0,0,2,0.11538461538461539,0,52,0,0,0,0,0,0,0,0,4.661226256269789,0,0,60,0,0,0,1,0,0,0,0,52,0,0,0,0
0,1,0,0,1,1,1,10,41,3,1,0,0,0,0,0,0,0,0,0,0,5,0.24390243902439024,1,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,54,1,3,0,0,0,1,0,0,0,0,0,0,6,0.07407407407407407,0,110,0,0,0,0,0,0,0,0,4.498652894949484,0,0,50,0,0,0,0,0,1,0,0,110,0,0,0,0
0,0,1,0,1,1,1,10,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,713,0,0,0,0,0,0,0,0,5.399728198304728,0,0,50,0,0,0,0,0,1,0,0,713,0,0,0,0
0,1,0,0,1,1,1,10,44,2,2,0,0,1,0,0,0,0,0,0,0,4,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,51,2,3,0,0,1,0,0,0,0,0,0,0,6,0.0392156862745098,0,67,0,0,0,0,0,0,0,0,4.576918481341095,0,0,60,0,0,0,1,0,0,0,0,67,0,0,0,0
0,1,0,0,1,1,1,10,62,2,3,0,0,1,0,0,0,0,0,0,0,6,0.20967741935483872,1,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,33,1,2,0,0,0,0,0,0,0,0,0,0,4,0.030303030303030304,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,49,4,1,0,0,0,0,0,0,0,0,0,0,2,0.30612244897959184,1,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,10,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,23,0,0,0,0,0,0,0,0,3.7950885863977324,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,44,1,2,0,0,0,0,0,0,0,0,0,0,4,0.13636363636363635,0,562,0,0,0,0,0,0,1,0,5.393947697181407,0,0,60,0,0,0,1,0,0,0,0,562,0,0,1,0
0,0,1,0,1,1,1,10,15,2,0,0,0,0,0,1,0,0,0,0,0,0,0.4666666666666667,0,252,0,1,0,0,1,0,0,0,5.5116618414917875,0,0,50,0,0,0,0,0,1,0,0,252,0,0,2,1
0,0,1,0,1,1,1,10,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,38,0,1,1,0,0,0,0,0,4.396229408796209,0,0,60,0,0,0,1,0,0,0,0,38,0,0,2,1
0,0,0,1,1,1,1,10,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,0,4.0472990984266435,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,10,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,30,1,3,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,24,1,2,0,0,0,0,0,0,0,0,0,0,4,0.0,0,55,0,0,0,1,0,1,0,0,4.23483880396172,0,0,60,0,0,0,1,0,0,0,0,55,0,0,2,1
1,0,0,0,1,1,1,10,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,36,1,3,0,0,0,0,0,0,0,0,0,0,6,0.0,0,61,0,0,0,0,0,0,0,0,4.598209263544126,0,0,60,0,0,0,1,0,0,0,0,61,0,0,0,0
0,0,1,0,1,1,1,10,28,2,2,0,0,1,0,0,0,0,0,0,0,4,0.0,0,50,0,0,0,0,0,0,0,0,4.351272380112911,0,0,50,0,0,0,0,0,1,0,0,50,0,0,0,0
0,0,1,0,1,1,1,10,37,2,3,0,0,0,0,0,1,0,0,0,0,6,0.0,0,243,0,1,0,0,0,0,0,0,5.032496328595461,0,0,66,0,0,0,0,1,0,0,0,243,0,0,1,0
0,0,1,0,1,1,1,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,0,1,0,0,0,0,0,0,3.3735572622751855,0,0,66,0,0,0,0,1,0,0,0,15,0,0,1,0
0,1,0,0,1,1,1,10,108,1,1,1,0,0,0,0,0,0,0,1,0,10,0.3425925925925926,1,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,59,0,1,0,0,0,0,0,0,4.51986969353289,0,0,50,0,0,0,0,0,1,0,0,0,59,0,1,0
0,1,0,0,1,1,1,10,35,1,1,0,0,0,0,0,0,0,0,0,0,3,0.02857142857142857,1,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,39,0,1,0,0,0,0,0,0,3.425265361324189,0,0,50,0,0,0,0,0,1,0,0,39,0,0,1,0
0,0,0,1,1,1,1,10,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,33,0,0,0,0,0,0,0,0,4.112427831414107,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,23,0,0,0,0,0,0,0,0,3.2733494559629497,0,0,50,0,0,0,0,0,1,0,0,23,0,0,0,0
1,0,0,0,1,1,1,10,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,25,1,2,0,0,0,0,0,0,0,0,0,0,4,0.04,0,50,0,0,0,1,0,0,0,0,4.420631000600121,0,0,60,0,0,0,1,0,0,0,0,50,0,0,1,0
0,1,0,0,1,1,1,10,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,37,0,0,0,1,0,0,0,0,3.748937148944957,0,0,66,0,0,0,0,1,0,0,0,0,37,0,1,0
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,43,0,0,0,0,0,0,0,0,4.088828126694494,0,0,50,0,0,0,0,0,1,0,0,43,0,0,0,0
0,0,1,0,1,1,1,10,36,1,3,0,0,0,0,0,0,0,0,0,0,6,0.0,0,79,0,0,0,0,1,0,0,0,4.560861957395951,0,0,66,0,0,0,0,1,0,0,0,79,0,0,1,0
0,0,0,1,1,1,1,10,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0.4444444444444444,0,35,0,0,0,0,0,0,0,0,4.307714802597436,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,19,0,0,0,0,0,0,0,0,3.1555650133297184,0,0,66,0,0,0,0,1,0,0,0,0,19,0,0,0
0,1,0,0,1,1,1,10,56,1,1,1,0,0,0,0,0,0,0,0,0,2,0.19642857142857142,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,38,0,1,1,0,0,0,0,0,4.396229408796209,0,0,50,0,0,0,0,0,1,0,0,38,0,0,2,1
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,23,0,0,0,0,0,0,0,0,3.7950885863977324,0,0,50,0,0,0,0,0,1,0,0,23,0,0,0,0
0,0,1,0,1,1,1,10,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,36,0,0,0,0,0,0,0,0,3.627986806877675,0,0,66,0,0,0,0,1,0,0,0,36,0,0,0,0
0,1,0,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,28,0,0,0,1,0,0,0,0,3.1944527985315267,0,0,66,0,0,0,0,1,0,0,0,0,28,0,1,0
0,0,0,1,1,1,1,10,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,46,0,0,0,0,0,0,0,0,3.9850641314229476,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,18,1,1,0,0,0,0,0,0,0,0,0,0,2,0.3333333333333333,1,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,23,0,0,0,0,0,0,0,0,3.5883543471732335,0,0,50,0,0,0,0,0,1,0,0,23,0,0,0,0
0,1,0,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,34,0,0,1,0,0,0,0,0,4.3149727675300324,0,0,50,0,0,0,0,0,1,0,0,0,34,0,1,0
0,0,1,0,1,1,1,10,31,2,2,0,0,0,0,0,1,0,0,0,0,4,0.06451612903225806,0,269,0,1,0,0,1,0,0,0,5.54604111730703,0,0,50,0,0,0,0,0,1,0,0,269,0,0,2,1
0,0,1,0,1,1,1,10,51,2,2,0,0,1,0,0,0,0,0,0,0,4,0.0,0,74,0,0,0,1,1,0,0,0,4.670960508440245,0,0,50,0,0,0,0,0,1,0,0,74,0,0,2,1
0,0,1,0,1,1,1,10,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0.42857142857142855,0,255,0,1,0,0,0,0,0,0,5.362022130153294,0,0,66,0,0,0,0,1,0,0,0,255,0,0,1,0
1,0,0,0,1,1,1,10,36,2,3,0,0,0,1,0,0,0,0,0,0,6,0.1111111111111111,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,42,1,3,0,0,0,0,0,0,0,0,0,0,6,0.047619047619047616,0,46,0,0,0,0,1,0,0,0,4.571943749300114,0,0,66,0,0,0,0,1,0,0,0,46,0,0,1,0
0,1,0,0,1,1,1,10,20,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0,38,0,0,0,1,0,1,0,0,4.0433370526326025,0,0,60,0,0,0,1,0,0,0,0,0,38,0,2,1
0,0,1,0,1,1,1,10,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,41,0,0,0,0,0,0,0,0,3.992328383861082,0,0,60,0,0,0,1,0,0,0,0,41,0,0,0,0
0,1,0,0,1,1,1,10,16,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,34,0,0,0,0,1,0,0,0,4.175123135113461,0,0,60,0,0,0,1,0,0,0,0,34,0,0,1,0
1,0,0,0,1,1,1,10,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,10,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,25,0,0,0,0,0,0,0,0,3.893660689688185,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,10,23,2,1,0,0,0,0,1,0,0,0,0,0,2,0.043478260869565216,0,69,0,0,0,0,0,0,0,0,4.601420386023956,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,33,0,0,0,1,0,0,0,0,4.187889194919351,0,0,66,0,0,0,0,1,0,0,0,33,0,0,1,0
0,0,1,0,1,1,1,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,54,0,0,0,0,1,0,0,0,4.483976567291419,0,0,60,0,0,0,1,0,0,0,0,54,0,0,1,0
0,0,1,0,1,1,1,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,35,0,0,0,1,0,0,0,0,4.053526318247729,0,0,60,0,0,0,1,0,0,0,0,35,0,0,1,0
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,70,0,0,0,0,0,1,0,0,4.9217212310452405,0,0,66,0,0,0,0,1,0,0,0,70,0,0,1,0
0,0,0,1,1,1,1,10,30,2,2,0,0,1,0,0,0,0,0,0,0,4,0.0,0,120,0,0,0,0,0,0,0,0,4.376420962645199,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,56,2,3,1,0,0,0,0,0,0,0,0,0,6,0.0,0,61,0,0,0,0,0,0,0,0,4.289538420539037,0,0,66,0,0,0,0,1,0,0,0,61,0,0,0,0
1,0,0,0,1,1,1,10,42,1,2,0,0,0,0,0,0,0,0,0,0,4,0.023809523809523808,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,60,1,3,0,0,0,0,0,0,0,0,0,0,6,0.0,0,99,0,0,0,0,0,1,0,0,5.1495233527663,0,0,66,0,0,0,0,1,0,0,0,99,0,0,1,0
1,0,0,0,1,1,1,10,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,34,2,1,0,0,1,0,0,0,0,0,0,0,2,0.14705882352941177,0,73,0,0,0,0,0,0,0,0,4.604227216936806,0,0,66,0,0,0,0,1,0,0,0,73,0,0,0,0
0,0,0,1,1,1,1,10,39,1,3,0,0,0,0,0,0,0,0,0,0,6,0.02564102564102564,0,76,0,0,0,0,0,0,0,0,4.798730599135461,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,10,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,10,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,55,0,0,0,0,0,0,0,0,4.176256532842951,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,40,1,3,0,0,0,0,0,0,0,0,0,0,6,0.075,0,75,0,0,0,0,0,0,0,0,5.080299150663648,0,0,66,0,0,0,0,1,0,0,0,75,0,0,0,0
1,0,0,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,33,2,3,0,0,1,0,0,0,0,0,0,0,6,0.030303030303030304,0,549,0,0,0,0,0,0,0,0,5.368832687189259,0,0,66,0,0,0,0,1,0,0,0,549,0,0,0,0
1,0,0,0,1,1,1,10,27,1,2,0,0,0,0,1,0,0,0,0,0,4,0.07407407407407407,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,35,0,1,0,0,0,0,0,0,4.3001530166977115,0,0,50,0,0,0,0,0,1,0,0,35,0,0,1,0
0,0,1,0,1,1,1,10,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,17,0,0,0,0,0,1,0,0,3.572469458770136,0,0,66,0,0,0,0,1,0,0,0,17,0,0,1,0
0,1,0,0,1,1,1,10,60,4,1,0,0,0,0,0,0,0,0,0,0,3,0.25,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,16,2,1,0,0,1,0,0,0,0,0,0,0,2,0.25,0,745,0,0,0,0,0,0,0,0,5.473762501312869,0,0,66,0,0,0,0,1,0,0,0,745,0,0,0,0
0,0,1,0,1,1,1,10,20,2,0,0,0,1,0,0,0,0,0,1,0,0,0.35,0,35,0,1,0,0,0,0,0,0,4.264578373902382,0,0,50,0,0,0,0,0,1,0,0,35,0,0,1,0
0,0,1,0,1,1,1,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,19,0,0,0,1,0,0,0,0,3.4263674884732263,0,0,60,0,0,0,1,0,0,0,0,19,0,0,1,0
0,0,1,0,1,1,1,10,51,1,2,0,0,0,0,0,0,0,0,0,0,4,0.058823529411764705,0,58,0,0,0,0,0,0,0,0,4.523772754002501,0,0,66,0,0,0,0,1,0,0,0,58,0,0,0,0
0,0,1,0,1,1,1,10,38,1,3,0,0,0,0,0,0,0,0,0,0,6,0.0,0,55,0,0,0,0,0,0,0,0,4.542469431935247,0,0,66,0,0,0,0,1,0,0,0,55,0,0,0,0
0,0,1,0,1,1,1,10,34,1,3,0,0,0,0,0,0,0,0,0,0,6,0.08823529411764706,0,82,0,1,0,0,0,0,0,0,4.925562028977088,0,0,50,0,0,0,0,0,1,0,0,82,0,0,1,0
1,0,0,0,1,1,1,10,51,2,3,0,0,1,0,0,0,0,0,0,0,6,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,13,2,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,36,0,0,0,1,0,1,0,0,3.592314237012556,0,0,50,0,0,0,0,0,1,0,0,36,0,0,2,1
0,0,1,0,1,1,1,10,15,1,1,0,0,0,0,0,0,0,0,0,0,2,0.13333333333333333,0,751,0,0,0,0,0,0,0,0,5.514290659822807,0,0,50,0,0,0,0,0,1,0,0,751,0,0,0,0
0,1,0,0,1,1,1,10,18,2,1,0,0,1,0,0,0,0,0,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,23,3,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,51,2,3,0,0,1,0,0,0,0,0,0,0,6,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,39,0,0,0,0,0,0,0,0,4.131054782742918,0,0,66,0,0,0,0,1,0,0,0,39,0,0,0,0
0,0,1,0,1,1,1,10,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,14,0,0,0,0,0,0,0,0,2.8423709931771084,0,0,50,0,0,0,0,0,1,0,0,14,0,0,0,0
0,0,0,1,1,1,1,10,41,2,2,0,0,0,0,0,0,0,1,0,0,4,0.0975609756097561,0,83,0,0,0,0,0,0,0,0,4.440791317114088,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,23,0,0,0,0,0,0,0,0,3.969001629875993,0,0,60,0,0,0,1,0,0,0,0,23,0,0,0,0
0,0,1,0,1,1,1,10,25,1,2,0,0,0,0,0,0,0,0,0,0,4,0.0,0,35,0,0,0,0,0,0,0,0,3.957295873840569,0,0,50,0,0,0,0,0,1,0,0,35,0,0,0,0
0,1,0,0,1,1,1,10,29,1,1,0,0,0,0,0,0,0,0,0,0,2,0.034482758620689655,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,17,1,1,0,0,0,0,1,0,0,0,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,26,1,2,0,1,0,0,0,0,0,0,0,0,4,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,10,31,1,2,0,0,0,0,0,0,0,0,0,0,4,0.03225806451612903,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,37,2,3,0,0,1,0,0,0,0,0,0,0,6,0.02702702702702703,0,125,0,0,0,0,0,1,0,0,5.270427514171859,0,0,66,0,0,0,0,1,0,0,0,125,0,0,1,0
1,0,0,0,1,1,1,10,36,1,3,0,0,0,1,0,0,0,0,0,0,6,0.08333333333333333,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,55,0,0,0,0,0,0,0,0,3.989917440561371,0,0,66,0,0,0,0,1,0,0,0,55,0,0,0,0
0,1,0,0,1,1,1,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,62,2,2,0,0,1,0,0,0,0,0,1,0,4,0.0,0,75,0,0,0,0,0,0,0,0,4.766277564206401,0,0,50,0,0,0,0,0,1,0,0,75,0,0,0,0
